crash_date,crash_level,crash_record,crash_address,crash_impaired,num_vehicles,acc_persons,pedestrians,latitude,longitude
5/15/2023 10:32,Property,20230284150,Illinois Av & 47th Avn,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1578,-86.8442
5/15/2023 11:20,Injury,20230284242,Old Hickory Blvd & Plantation Dr,No Impaired Drivers,3 Vehicles,3 Persons,No Pedestrians,36.2004,-86.6209
5/15/2023 11:41,Property,20230284260,8th Avs & East Argyle Av,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1362,-86.7789
5/15/2023 11:46,Property,20230284247,Myatt Dr & Spring Branch Dr,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.2929,-86.6954
5/15/2023 12:10,Injury,20230284292,Lebanon Pke & Old Hickory Blvd,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1984,-86.6203
5/15/2023 12:21,Property,20230284338,Lealand Ln & Kirkwood Av,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1197,-86.7873
5/15/2023 12:38,Property,20230284362,Gartland Av & N 16th St,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.179,-86.7426
5/15/2023 12:51,Property,20230284621,Riverside Dr & Mcgavock Pke,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2048,-86.7244
5/15/2023 13:02,Injury,20230284389,Carter Av & Preston Dr,No Impaired Drivers,1 Vehicle,1 Person,No Pedestrians,36.1884,-86.7179
5/15/2023 13:15,Property,20230284400,Broadway & I40 E Ext Ramp,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1557,-86.7897
5/15/2023 13:15,Property,20230284410,Hillsboro Pke & Hampton Pl,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.115,-86.8107
5/15/2023 14:07,Property,20230284484,Gallatin Pkes & Lakewood Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2431,-86.723
5/15/2023 14:16,Injury,20230284509,I40 E Ext Ramp & I 40,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1695,-86.6046
5/15/2023 14:32,Property,20230284533,Fesslers Ln & Murfreesboro Pke,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.1423,-86.7446
5/15/2023 14:46,Property,20230284617,Murfreesboro Pke & Donelson Pke,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1062,-86.6731
5/15/2023 15:00,Property,20230284629,Capers Av & 21st Avs,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.1388,-86.8006
5/15/2023 15:15,Property,20230284620,Old Hickory Blvd & Marydale Dr,No Impaired Drivers,2 Vehicles,3 Persons,No Pedestrians,36.2723,-86.7619
5/15/2023 15:28,Property,20230284604,Cascade Dr & Big Horn Dr,No Impaired Drivers,2 Vehicles,2 Persons,No Pedestrians,36.2188,-86.589
5/15/2023 15:34,Property,20230284633,Mm 57 7 I 24,No Impaired Drivers,2 Vehicles,4 Persons,No Pedestrians,36.061,-86.681
